year,round,college_code,college_name,branch,category,closing_rank,source_file,round_sort_order
2021,1,E002,BMS College of Engineering,Civil,1G,4173,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,1G,4722,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Civil,1G,5201,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,1G,4057,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,1G,4504,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,1G,5538,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,1G,3970,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,1G,4269,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,1G,4727,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,1G,3415,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,1G,4211,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,1G,5195,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,1G,3711,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,1G,4063,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,1G,4755,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Civil,2A,5448,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,2A,5778,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Civil,2A,6752,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,2A,4837,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,2A,5358,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,2A,6837,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,2A,4560,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,2A,5596,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,2A,6762,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,2A,4718,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,2A,5309,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,2A,6330,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,2A,4267,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,2A,5004,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,2A,5971,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Civil,2B,5875,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,2B,6404,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Civil,2B,7810,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,2B,5999,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,2B,6307,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,2B,7285,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,2B,5637,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,2B,6715,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,2B,6894,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,2B,4873,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,2B,6479,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,2B,7482,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,2B,5357,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,2B,5387,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,2B,7023,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Civil,3A,5879,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,3A,6913,SAMPLE_DATA_NOT_REAL,1
